fid,fb_certificate,like_avg_count,comment_avg_count,share_avg_count,friendtag_avg_count,class1_post_count,class2_post_count,class3_post_count,total_post_count,start_fans,stop_fans,fan_growth_rate
223623887656120,0,771.0416667,10.375,30.77083333,2.1875,3,36,9,48,166462,184870,0.110583797
333109469102,0,912.4375,133.7916667,286.1041667,92.9375,37,5,6,48,42054,79976,0.901745375
1158410500878600,0,402.0612245,61.7755102,56.30612245,34.16326531,21,12,16,49,114845,115908,0.009255954
250846248378675,2,136.7142857,3.653061224,5.163265306,1.734693878,15,13,21,49,2819528,2948433,0.045718645
158398184350676,0,19.75510204,0.857142857,3.326530612,0.081632653,14,9,26,49,119461,118665,-0.006663262
229264713799595,1,334.48,81.42,71.24,135.62,21,6,23,50,94854,97777,0.03081578
778841768809878,2,858.98,242.54,236.54,251.86,16,8,26,50,66746,78642,0.178227909
199415843446987,0,157.26,4.08,5.98,1.06,14,30,6,50,62691,64074,0.022060583
454156911325234,2,1135.176471,4.588235294,36.90196078,1.843137255,27,22,2,51,18607349,19267011,0.035451692
175899202429751,2,147.2156863,14.05882353,16.1372549,7.294117647,3,0,48,51,694362,736851,0.061191425
56247409725,2,5281.490196,1498.686275,1218.960784,1624.313725,19,8,24,51,995837,1061044,0.065479592
511312502312358,2,9025.557692,1442.826923,1353.942308,1438.442308,7,22,23,52,69731473,71896690,0.031050785
243814185643053,2,3490.75,32.42307692,124.9615385,17.86538462,20,28,4,52,472395,488011,0.033057081
